product_id,sku,product_name,category_id,cost_price,list_price,active
1,ELE-001,Wireless Earbuds,1,18.0,49.0,1
2,ELE-002,Smart Watch,1,27.0,79.0,1
3,ELE-003,Portable Speaker,1,22.0,64.0,1
4,ELE-004,Power Bank 20000mAh,1,15.0,39.0,1
5,ELE-005,Mechanical Keyboard,1,31.0,89.0,1
6,ELE-006,USB-C Hub,1,14.0,35.0,1
7,FAS-001,Classic Hoodie,2,13.0,36.0,1
8,FAS-002,Oversized T-Shirt,2,6.0,19.0,1
9,FAS-003,Everyday Joggers,2,11.0,32.0,1
10,FAS-004,Denim Jacket,2,18.0,52.0,1
11,FAS-005,Linen Shirt,2,10.0,29.0,1
12,HOM-001,Ceramic Mug Set,3,5.0,18.0,1
13,HOM-002,Desk Lamp,3,12.0,34.0,1
14,HOM-003,Storage Organizer,3,7.0,22.0,1
15,HOM-004,Cotton Bedsheet,3,14.0,39.0,1
16,HOM-005,Aroma Diffuser,3,10.0,28.0,1
17,BEA-001,Vitamin C Serum,4,6.0,21.0,1
18,BEA-002,Hydrating Moisturizer,4,7.0,24.0,1
19,BEA-003,Sunscreen SPF50,4,5.0,18.0,1
20,BEA-004,Lip Tint,4,3.0,12.0,1
21,BEA-005,Face Cleanser,4,4.0,14.0,1
22,FIT-001,Yoga Mat,5,9.0,28.0,1
23,FIT-002,Resistance Bands,5,5.0,17.0,1
24,FIT-003,Steel Water Bottle,5,6.0,19.0,1
25,FIT-004,Gym Duffel Bag,5,11.0,33.0,1
26,FIT-005,Foam Roller,5,8.0,24.0,1
27,ACC-001,Laptop Sleeve,6,7.0,23.0,1
28,ACC-002,Minimal Wallet,6,6.0,20.0,1
29,ACC-003,Canvas Tote Bag,6,4.0,15.0,1
30,ACC-004,Sunglasses,6,8.0,26.0,1
31,ACC-005,Phone Stand,6,3.0,12.0,1
